Ticker,Relação P/L,Rendimento de Dividendos,Capitalização de Mercado,Alta de 52 Semanas,Baixa de 52 Semanas,Beta,Lucro por Ação (EPS),Retorno sobre o Patrimônio (ROE)
MMM,13.409732,0.026700001,57953501184,106.04,71.36288,1.001,-12.73,-0.69286
AOS,18.541473,0.014400001,11802534912,92.45,64.14,1.141,3.85,0.31443
ABT,20.2179,0.0212,180782333952,121.64,89.67,0.718,3.17,
ABBV,14.2981,0.0357,305760370688,182.89,135.85,0.623,3.37,0.56244
ACN,25.827208,0.0156,206913421312,387.51,278.69,1.227,10.91,0.26
ADBE,26.5311,,242100830208,638.25,433.97,1.297,11.1,0.34223998
AMD,27.797834,,248911740928,227.3,93.12,1.681,0.69,0.020130001
AES,8.401914,0.039,12479311872,22.21,11.43,1.079,0.73,-0.014780001
AFL,13.809664,0.0212,53594701824,95.49,71.97,0.947,9.09,0.24699
A,22.880909,0.0070999996,38118572032,155.35,96.8,1.049,4.22,0.20708999
APD,19.17603,0.028499998,56910336000,307.71,212.24,0.822,11.06,0.16115999
ABNB,28.771759,,94433050624,170.1,113.235,1.19,7.46,0.74907
AKAM,14.231111,,14631569408,129.17,87.59,0.671,4.01,0.14218001
ALB,13.987768,0.0173,10751370240,217.77,90.02,1.575,2.76,0.03862
ARE,34.29661,0.041300002,21237766144,135.45,90.73,,1.07,0.01491
ALGN,23.058878,,18869356544,413.2,176.34,1.659,6.06,0.1277
ALLE,16.668413,0.0152,11120708608,136.91,95.94,1.134,6.13,0.45151
LNT,16.815386,0.0349,14011113472,56.3,45.15,0.555,2.75,0.1062
ALL,9.937036,0.021,45815648256,179.93,104.29,0.481,4.56,0.07285
GOOGL,21.016186,0.0044,2255995535360,191.75,120.21,1.046,6.52,0.29764
GOOG,21.225435,0.0044,2257582555136,193.31,121.46,1.046,6.53,0.29764
MO,9.30303,0.0794,84369981440,49.92,39.07,0.69,4.78,
AMZN,32.250866,,1939894304768,201.2,118.35,1.155,3.58,0.20305
AMCR,13.608108,0.0493,14554573824,10.51,8.45,0.865,0.45,0.15945
AEE,15.322449,0.0354,20021583872,88.72,67.03,0.451,4.36,0.10346
AAL,4.09375,,6875822592,16.9,10.34,1.45,0.71,
AEP,15.685093,0.0373,49359704064,94.72,69.38,0.524,5.37,0.11314
AXP,16.570469,0.0114,175524167680,253.73,140.91,1.213,13.39,0.34977
AIG,10.488403,0.021,51022790656,80.83,57.02,1.089,6.69,0.11665
AMT,31.271643,0.0309,97840603136,219.1,154.58,0.808,4.42,0.17229
AWK,24.821556,0.0216,27370686464,151.22,113.34,0.667,4.93,0.09809
AMP,10.982279,0.014099999,41854521344,449.94,306.63,1.367,29.4,0.69356
AME,23.038874,0.0064999997,39782748160,186.33,136.89,1.181,5.69,0.15766
AMGN,16.247683,0.026800001,178761596928,338.98,228.21,0.58,6.99,0.72574997
APH,33.634518,0.013300001,79592177664,70.84,39.34,1.256,1.64,0.25445
ADI,28.611181,0.0153,114288697344,244.14,154.99,1.082,4.27,0.06007
ANSS,30.688396,,27942983680,364.31,258.01,1.108,4.97,0.08528
AON,17.280254,0.009,64887934976,344.68,268.06,0.907,12.8,176.13332
APA,6.4070983,0.032,11391882240,46.15,27.17,3.27,8.91,1.21628
AAPL,30.739069,0.0045,3450325696512,237.23,164.08,1.244,6.43,1.4725
AMAT,22.64433,0.0072000003,181864693760,255.89,129.21,1.55,8.69,0.45193002
APTV,8.977748,,18660732928,113.14,65.13,1.794,10.64,0.29249
ACGL,10.763983,,36133789696,103.79,72.85,0.583,12.67,0.2905
ADM,11.565056,0.0312,30763933696,87.3,50.72,0.73,5.73,0.12365
ANET,38.219406,,108627288064,376.5,149.1,1.108,7.19,0.34697
AJG,24.072247,0.0088,59702943744,276.145,214.14,0.727,4.92,0.10302
AIZ,10.096604,0.017,8964951040,189.48,129.54,0.538,14.3,0.16429001
T,7.9868417,0.0598,130568790016,19.33,13.89,0.72,1.86,0.13035
ATO,17.640226,0.026099999,18790219776,125.38,101.0,0.665,6.63,0.09161
ADSK,27.267996,,53064777728,279.53,192.01,1.485,4.61,0.65206003
ADP,24.884771,0.0226,101647425536,256.84,205.53,0.791,8.95,0.88922995
AZO,17.852308,,49907912704,3256.37,2375.35,0.712,144.34,
AVB,37.579422,0.0325,29601703936,211.2,160.45,0.971,6.74,0.08347
AVY,20.886362,0.015700001,17766856704,233.475,165.21,0.89,6.84,0.26099002
AXON,56.0614,,24115542016,329.87,175.37,0.952,3.42,0.16287
BKR,14.146826,0.023599999,35810783232,37.58,28.32,1.399,1.79,0.12185001
BALL,18.124277,0.012999999,19463802880,71.32,42.81,0.848,2.08,0.119440004
BAC,11.524456,0.0227,329727148032,44.44,24.96,1.356,2.85,0.08495
BK,10.132166,0.0297,46956204032,65.91,39.66,1.082,4.22,0.08343001
BBWI,9.90107,0.021300001,8266244096,52.99,27.3,1.834,3.87,
BAX,10.987539,0.0328,17972887552,49.29,31.01,0.574,-0.08,-0.00423
BDX,16.432678,0.0164,67722780672,286.46,218.75,0.444,4.67,0.05372
BRK.B,,,,,,,,
BBY,13.177777,0.0423,19187759104,93.72,62.3,1.498,5.7,0.42314997
BIO,25.93203,,8666844160,431.79,261.59,0.93,-10.69,-0.03427
TECH,37.87624,0.0041,12056827904,89.15,51.79,1.289,1.25,0.10399
BIIB,13.009861,,32655947776,280.42,189.44,-0.038,8.0,0.0805
BLK,18.083708,0.0242,125183057920,851.88,596.18,1.331,40.31,
BX,24.097315,0.024,175772188672,145.14,88.59,1.49,2.63,0.18929
BA,38.37037,,114477088768,267.54,159.7,1.562,-3.54,
BKNG,19.105001,0.009,132968652800,4144.32,2733.04,1.385,132.92,
BWA,7.0454545,0.0135,7416126976,46.77,29.51,1.209,2.91,0.10918
BSX,29.6566,,115541434368,79.43,48.35,0.786,1.19,0.092480004
BMY,6.2744527,0.056199998,87124754432,64.65,39.35,0.439,-3.1,-0.25333
AVGO,27.024754,0.012999999,762329694208,185.162,79.509,1.188,2.32,0.22229
BR,24.268003,0.0156,24291899392,211.68,164.99,1.052,5.86,0.32770002
BRO,24.94911,0.0056,27969841152,99.0799,66.73,,3.24,0.17950001
BF.B,,,,,,,,
BLDR,12.067747,,20002701312,214.7,105.24,2.039,11.63,0.30488002
BG,11.276704,0.0241,15695806464,116.59,86.1,0.657,12.4,0.17347
BXP,36.03125,0.057800002,12190691328,73.97,50.64,1.195,1.22,0.03526
CDNS,40.65948,,77092986880,328.99,217.77,,3.85,0.29442
CZR,21.260115,,7946428928,60.27,31.74,2.985,3.54,0.19993
CPT,68.07229,0.0363,12038455296,115.66,82.81,0.896,4.08,0.09056
CPB,14.111456,0.032,13608091648,48.63,37.94,0.155,2.47,0.19699
COF,9.09375,0.0165,55569649664,153.35,88.23,1.458,12.77,0.092609994
CAH,12.727755,0.0212,23343460352,116.04,85.12,0.622,2.26,
KMX,21.541553,,12540948480,88.22,59.66,1.693,2.55,0.06728
CCL,12.383117,,24984178688,19.74,10.84,2.693,0.71,0.14244
CARR,22.237785,0.0112,61512085504,70.09,45.68,1.19,1.43,0.13174
CTLT,50.8,,10572851200,60.2,31.8,1.161,-6.48,-0.2829
CAT,15.215296,0.0162,168317370368,382.01,223.76,1.106,22.12,0.62789
CBOE,20.290144,0.0117999995,19266316288,199.0,137.0,0.645,7.46,0.21090001
CBRE,17.77061,0.0172,30424668160,100.27,64.63,1.399,3.19,0.11837
CDW,20.641256,0.0107,30931699712,263.37,184.99,1.034,8.0,0.58814
CE,10.224595,0.02,15165197312,172.16,110.76,1.295,18.23,0.29295
COR,15.204067,0.0091,44163293184,246.75,171.65,0.453,9.15,2.13146
CNC,8.560686,,34628935680,81.42,60.83,0.5,5.07,0.10438
CNP,16.494253,0.0276,18360080384,31.57,25.42,0.922,1.42,0.09255999
CF,13.011069,0.027999999,12889786368,87.9,69.13,0.944,6.05,0.17729999
CHRW,21.274647,0.0271,10612319232,100.88,65.0,0.809,2.54,0.21565
